,model.Group,model.Type,model.Biomass,model.PB,model.QB,model.EE,model.ProdCons,model.BioAcc,model.Unassim,model.DetInput,model.Discard,model.Detritus.POC,model.Fishery,model.Fishery.disc,diet.Group,diet.Phytoplankton..Primary.Producers,diet.Bacteria,diet.Microzooplankton,diet.Small.copepods,diet.Large.Copepods,diet.Gelatinous.Zooplankton,diet.Micronekton,diet.Macrobenthos..polychaetes,diet.Macrobenthos..crustaceans,diet.Macrobenthos..molluscs,diet.Macrobenthos..other,diet.Megabenthos..filterers,diet.Megabenthos..other,diet.Shrimp.et.al.,diet.Larval.juv.fish..all,diet.Small.Pelagics..commercial,diet.Small.Pelagics..other,diet.Small.Pelagics..squid,diet.Small.Pelagics..anadromous,diet.Medium.Pelagics...piscivores...other.,diet.Demersals..benthivores,diet.Demersals..omnivores,diet.Demersals..piscivores,diet.Sharks..pelagics,diet.HMS,diet.Pinnipeds,diet.Baleen.Whales,diet.Odontocetes,diet.Sea.Birds,stanzas.NStanzaGroups,stanzas.stgroups.StGroupNum,stanzas.stgroups.StanzaGroup,stanzas.stgroups.nstanzas,stanzas.stgroups.VBGF_Ksp,stanzas.stgroups.VBGF_d,stanzas.stgroups.Wmat,stanzas.stgroups.RecPower,stanzas.stindiv.StGroupNum,stanzas.stindiv.StanzaNum,stanzas.stindiv.GroupNum,stanzas.stindiv.Group,stanzas.stindiv.First,stanzas.stindiv.Last,stanzas.stindiv.Z,stanzas.stindiv.Leading,pedigree.Group,pedigree.Biomass,pedigree.PB,pedigree.QB,pedigree.Diet,pedigree.Fishery
1,Phytoplankton- Primary Producers,1,22.126,163.143,NA,NA,NA,0,0,NA,0,1,0,0,Phytoplankton- Primary Producers,0,0.4305193,0.2117425,0.7240587,0.6317893,0.08602893,0.1824,0.1241,0.1351713,0.4000163,0.2008283,0.7909901,0,0.07548419,0.0589119,0.01121766,0.1656693,0,0.0117771,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phytoplankton- Primary Producers,1,1,1,1,1
2,Bacteria,0,5.484,91.25,380.208,NA,NA,0,0.2,NA,0,1,0,0,Bacteria,0,0,0.1971663,0,0,0.02000673,0,0.2954761,0.1374624,0.1951299,0.2008283,0.1188099,0.1418395,0.4473137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,1,1,1,1,1
3,Microzooplankton,0,4.885,72,242.424,NA,NA,0,0.1,NA,0,1,0,0,Microzooplankton,0,0,0.09702543,0.1133734,0.04287973,0.05001682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microzooplankton,1,1,1,1,1
4,Small copepods,0,10.403,30.918,127.75,NA,NA,0,0.25,NA,0,1,0,0,Small copepods,0,0,0,0.032,0.1097328,0.3301111,0.2208001,0,0.005453273,0,0,0,0,0,0.4305102,0.1193151,0.08079781,0,0.05613042,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Small copepods,1,1,1,1,1
5,Large Copepods,0,11.955,35,109.5,NA,NA,0,0.25,NA,0,1,0,0,Large Copepods,0,0,0,0,0.1276366,0.3601212,0.3664,0,0.02749248,0,0,0,0,0,0.2492427,0.4344292,0.676395,0.1006037,0.9020878,0,0,0,0,0.03340645,0,0,0.153928,0,0.03427451,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Large Copepods,1,1,1,1,1
6,Gelatinous Zooplankton,0,1.283,35,146,NA,NA,0,0.35,NA,0,1,0,6.36E-07,Gelatinous Zooplankton,0,0,0,0,0.02392604,0.04867304,0,0,0,0,0,0,0,0,0,0.01923198,0.02177701,0,0,0.01960942,0.008961361,0.08314439,0.04308448,0,0.09437622,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gelatinous Zooplankton,1,1,1,1,1
7,Micronekton,0,4.874,14.25,36.5,NA,NA,0,0.25,NA,0,1,0,0,Micronekton,0,0,0,0,0,0,0.0464,0.05909523,0.05383944,0.03414774,0.06733654,0,0,0.1509684,0.06797528,0.2172146,0.04431918,0.5030184,0.02034226,0,0.06147739,0.0328972,0.02203885,0,0,0.00313569,0.5024855,0.000274618,0.1405256,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Micronekton,1,1,1,1,1
8,Macrobenthos- polychaetes,0,18.942,2.55,17.5,NA,NA,0,0.5,NA,0,1,0,0.000135,Macrobenthos- polychaetes,0,0,0,0,0,0,0,0.02672455,0.1351713,0,0.06561421,0,0.07919377,0,0.02096442,0.01121766,0,0,0.001553198,0,0.1471426,0.1663658,0.01101942,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrobenthos- polychaetes,1,1,1,1,1
9,Macrobenthos- crustaceans,0,4.04,3.3,21,NA,NA,0,0.5,NA,0,1,0,1.83E-05,Macrobenthos- crustaceans,0,0,0,0,0.000327961,0,0,0.004904852,0.03310977,0,0.009938519,0,0.066255,0.008152554,0.01274636,0.0545647,0.000721625,0.1509055,0.002170789,0.01226363,0.1844322,0.1663658,0.01101942,0.01113548,0,0.005412052,0,0.002591398,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrobenthos- crustaceans,1,1,1,1,1
10,Macrobenthos- molluscs,0,9.866,2.24,13.72,NA,NA,0,0.6,NA,0,1,0,0.000189,Macrobenthos- molluscs,0,0,0,0,0,0,0,0.000639306,0.02196813,0.004286418,0.02239663,0,0.2375813,0,0.005,0.00803651,0.00072132,0,0,0,0.1229548,0.1663658,0.03305828,0,0,0.005412052,0,0.002591398,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrobenthos- molluscs,1,1,1,1,1
