PYNAM,PYCOMNAM,PYSPP,PYABBR,MODCAT,GENCAT,GenSci,GenCom,ANALCAT,AnalSci,AnalCom,COLLCAT,CollSci,Collcom
EMPTY,EMPTY STOMACH,0,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
INVERTEBRATA,UNIDENTIFIED INVERTEBRATES,1.00E+13,INVERT,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER
FORAMINIFERIDA,FORAMINIFERANS,1.30E+13,FORAMI,BENINV,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER
PARASITES,PARASITES,2.00E+13,PARASI,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER
PORIFERA,SPONGES,3.00E+13,PORIFE,BENINV,PORIFE,PORIFERA,SPONGES,PORIFE,PORIFERA,SPONGES,PORIFE,PORIFERA,SPONGES
CNIDARIA,,5.00E+13,CNIDAR,BENINV,CNIDAR,CNIDARIA,CNIDARIA,CNIDAR,CNIDARIA,CNIDARIA,CNIDAR,CNIDARIA,CNIDARIA
HYDROZOA,,5.10E+13,HYDROZ,BENINV,CNIDAR,CNIDARIA,CNIDARIA,CNIDAR,CNIDARIA,CNIDARIA,HYDROZ,HYDROZOA,HYDROZOA
LEPTOMEDUSAE,THECATE HYDROID,5.10E+13,LEPFA2,BENINV,CNIDAR,CNIDARIA,CNIDARIA,CNIDAR,CNIDARIA,CNIDARIA,HYDROZ,HYDROZOA,HYDROZOA
CAMPANULARIIDAE,,5.10E+13,CAMFAM,BENINV,CNIDAR,CNIDARIA,CNIDARIA,CNIDAR,CNIDARIA,CNIDARIA,HYDROZ,HYDROZOA,HYDROZOA
OBELIA SP,,5.10E+13,OBELSP,BENINV,CNIDAR,CNIDARIA,CNIDARIA,CNIDAR,CNIDARIA,CNIDARIA,HYDROZ,HYDROZOA,HYDROZOA
HALECIUM SP,,5.10E+13,HALESP,BENINV,CNIDAR,CNIDARIA,CNIDARIA,CNIDAR,CNIDARIA,CNIDARIA,HYDROZ,HYDROZOA,HYDROZOA
SERTULARIIDAE,,5.10E+13,SERFA3,BENINV,CNIDAR,CNIDARIA,CNIDARIA,CNIDAR,CNIDARIA,CNIDARIA,HYDROZ,HYDROZOA,HYDROZOA
SERTULARIA SP,,5.10E+13,SERTSP,BENINV,CNIDAR,CNIDARIA,CNIDARIA,CNIDAR,CNIDARIA,CNIDARIA,HYDROZ,HYDROZOA,HYDROZOA
THUIARIA THUJA,BOTTLEBRUSH HYDROID,5.10E+13,THUTHU,BENINV,CNIDAR,CNIDARIA,CNIDARIA,CNIDAR,CNIDARIA,CNIDARIA,HYDROZ,HYDROZOA,HYDROZOA
CORYMORPHA SP,,5.10E+13,CORYSP,BENINV,CNIDAR,CNIDARIA,CNIDARIA,CNIDAR,CNIDARIA,CNIDARIA,HYDROZ,HYDROZOA,HYDROZOA
TUBULARIA SP,,5.10E+13,TUBUSP,BENINV,CNIDAR,CNIDARIA,CNIDARIA,CNIDAR,CNIDARIA,CNIDARIA,HYDROZ,HYDROZOA,HYDROZOA
CLADOCORYNE SP,,5.10E+13,CLADSP,BENINV,CNIDAR,CNIDARIA,CNIDARIA,CNIDAR,CNIDARIA,CNIDARIA,HYDROZ,HYDROZOA,HYDROZOA
SIPHONOPHORA,,5.10E+13,SIPHON,BENINV,CNIDAR,CNIDARIA,CNIDARIA,CNIDAR,CNIDARIA,CNIDARIA,HYDROZ,HYDROZOA,HYDROZOA
ANTHOZOA,ANEMONES AND CORALS,5.20E+13,ANTHOZ,BENINV,CNIDAR,CNIDARIA,CNIDARIA,CNIDAR,CNIDARIA,CNIDARIA,ANTHOZ,ANTHOZOA,"CORALS, ANENOMES"
PENNATULA ACULEATA,SEA PEN,5.21E+13,PENACU,BENINV,CNIDAR,CNIDARIA,CNIDARIA,CNIDAR,CNIDARIA,CNIDARIA,ANTHOZ,ANTHOZOA,"CORALS, ANENOMES"
ACTINIARIA,SEA ANEMONES,5.22E+13,ACTINI,BENINV,CNIDAR,CNIDARIA,CNIDARIA,CNIDAR,CNIDARIA,CNIDARIA,ANTHOZ,ANTHOZOA,"CORALS, ANENOMES"
