RPATH,B pedigree,P/B pedigree,Q/B pedigree,DC pedigree,Catch pedigree,,Biomass,PB,QB,Diet,Fleets,,,,,,
Phytoplankton,5,2,0,0,5,,0.5,0.2,0,0,0.5,,0,0,0,-0.5,0
Bacteria,7,8,8,8,5,,0.7,0.8,0.8,0.8,0.5,,0,0,0,0,0
Microzooplankton,7,8,8,8,5,,0.7,0.8,0.8,0.8,0.5,,0,0,0,0,0
GelZooplankton,6,8,8,8,5,,0.6,0.8,0.8,0.8,0.5,,0,0,0,0,0
LgCopepods,8,6,7,8,5,,0.8,0.6,0.7,0.8,0.5,,0,0,0,0,0
SmCopepods,5,6,7,8,5,,0.5,0.6,0.7,0.8,0.5,,0,0,0,0,0
Micronekton,8,8,8,8,5,,0.8,0.8,0.8,0.8,0.5,,0,0,0,0,0
Illex,2,5,5,4,4,,0.2,0.5,0.5,0.4,0.4,,0,0,0,0,0
Loligo,3,5,5,4,4,,0.3,0.5,0.5,0.4,0.4,,0,0,0,0,0
OtherCephalopods,8,8,8,8,4,,0.8,0.8,0.8,0.8,0.4,,0,0,0,0,0
Macrobenthos,5,5,8,8,4,,0.5,0.5,0.8,0.8,0.4,,0,0,0,0,0
AmLobster,6,5,5,8,4,,0.6,0.5,0.5,0.8,0.4,,0,0,0,0,0
OceanPout,4,6,6,4,4,,0.4,0.6,0.6,0.4,0.4,,0,0,0,0,0
SmPelagics,8,8,8,8,4,,0.8,0.8,0.8,0.8,0.4,,0,0,0,0,0
SmFlatfishes,8,8,8,8,4,,0.8,0.8,0.8,0.8,0.4,,0,0,0,0,0
NShrimp,8,6,6,5,4,,0.8,0.6,0.6,0.5,0.4,,0,0,0,0,0
OtherShrimps,5,8,8,8,4,,0.5,0.8,0.8,0.8,0.4,,0,0,0,0,0
RiverHerring,8,5,5,4,4,,0.8,0.5,0.5,0.4,0.4,,0,0,0,0,0
AtlScallop,4,5,5,8,4,,0.4,0.5,0.5,0.8,0.4,,0,0,0,0,0
OtherPelagics,8,8,8,8,4,,0.8,0.8,0.8,0.8,0.4,,0,0,0,0,0
AtlHerring,8,8,5,4,4,,0.8,0.8,0.5,0.4,0.4,,0,0,0,0,0
Mesopelagics,8,8,8,8,4,,0.8,0.8,0.8,0.8,0.4,,0,0,0,0,0
YTFlounder,3,5,5,4,4,,0.3,0.5,0.5,0.4,0.4,,0,0,0,0,0
Cod,4,5,5,8,4,,0.4,0.5,0.5,0.8,0.4,,0,0,0,0,0
Haddock,2,5,5,8,4,,0.2,0.5,0.5,0.8,0.4,,0,0,0,0,0
AmPlaice,3,7,7,4,4,,0.3,0.7,0.7,0.4,0.4,,0,0,0,0,0
AtlMackerel,8,6,2,4,4,,0.8,0.6,0.2,0.4,0.4,,0,0,0,0,0
AtlHalibut,2,6,6,4,4,,0.2,0.6,0.6,0.4,0.4,,0,0,0,0,0
SummerFlounder,8,4,4,8,4,,0.8,0.4,0.4,0.8,0.4,,0,0,0,0,0
Cusk,2,5,5,8,4,,0.2,0.5,0.5,0.8,0.4,,0,0,0,0,0
OtherDemersals,8,8,8,8,4,,0.8,0.8,0.8,0.8,0.4,,0,0,0,0,0
HMS,8,5,7,8,5,,0.8,0.5,0.7,0.8,0.5,,0,0,0,0,0
OtherSkates,8,8,8,8,4,,0.8,0.8,0.8,0.8,0.4,,0,0,0,0,0
RedHake,3,4,4,8,4,,0.3,0.4,0.4,0.8,0.4,,0,0,0,0,0
