,Group,Year,Stdev,Value,Type,Scale
1,AmLobster,1985,0.026660915,0.529404392,absolute,1
2,AmLobster,1986,0.024260718,0.445086389,absolute,1
3,AmLobster,1987,0.026240763,0.261684786,absolute,1
4,AmLobster,1988,0.012608602,0.222505197,absolute,1
5,AmLobster,1989,0.023605346,0.371020671,absolute,1
6,AmLobster,1990,0.030074258,0.398136573,absolute,1
7,AmLobster,1991,0.07017906,0.41945316,absolute,1
8,AmLobster,1992,0.02018234,0.331708319,absolute,1
9,AmLobster,1993,0.021639217,0.395690717,absolute,1
10,AmLobster,1994,0.034968025,0.6544125,absolute,1
11,AmLobster,1995,0.094497428,0.64101883,absolute,1
12,AmLobster,1996,0.068477559,1.146299499,absolute,1
13,AmLobster,1997,0.052399261,0.726681663,absolute,1
14,AmLobster,1998,0.032691207,0.680996002,absolute,1
15,AmLobster,1999,0.091909281,1.106090632,absolute,1
16,AmLobster,2000,0.045091587,0.71979856,absolute,1
17,AmLobster,2001,0.045627562,0.529159467,absolute,1
18,AmLobster,2002,0.104648041,1.243795167,absolute,1
19,AmLobster,2003,0.085708078,0.620515965,absolute,1
20,AmLobster,2004,0.160241311,0.919385059,absolute,1
21,AmLobster,2005,0.033084649,0.491303459,absolute,1
22,AmLobster,2006,0.0371964,0.65314746,absolute,1
23,AmLobster,2007,0.047125913,0.481613197,absolute,1
24,AmLobster,2008,0.028283326,0.839036373,absolute,1
25,AmLobster,2009,0.074732197,1.327735086,absolute,1
26,AmLobster,2010,0.12023452,1.997079172,absolute,1
27,AmLobster,2011,0.115193991,2.060699098,absolute,1
28,AmLobster,2012,0.088589283,2.369486346,absolute,1
29,AmLobster,2013,0.25404019,3.389619848,absolute,1
30,AmLobster,2014,0.116960504,4.343648103,absolute,1
31,AmLobster,2015,0.179552453,3.762182332,absolute,1
32,AmLobster,2016,0.194425357,4.031200125,absolute,1
33,AmLobster,2017,0.134286042,2.501883541,absolute,1
34,AmLobster,2018,0.118880902,2.57107179,absolute,1
35,AmLobster,2019,0.160608622,2.546993729,absolute,1
36,AmPlaice,1985,0.035218658,0.3404107,absolute,1
37,AmPlaice,1986,0.03381988,0.264679104,absolute,1
38,AmPlaice,1987,0.01948426,0.197328277,absolute,1
39,AmPlaice,1988,0.037559534,0.253545307,absolute,1
40,AmPlaice,1989,0.02543512,0.178629202,absolute,1
41,AmPlaice,1990,0.053148574,0.491495333,absolute,1
42,AmPlaice,1991,0.021350448,0.266521471,absolute,1
43,AmPlaice,1992,0.040175415,0.307546477,absolute,1
44,AmPlaice,1993,0.049036273,0.409600043,absolute,1
45,AmPlaice,1994,0.059320487,0.453504963,absolute,1
46,AmPlaice,1995,0.051563127,0.418130385,absolute,1
47,AmPlaice,1996,0.061087006,0.373051854,absolute,1
48,AmPlaice,1997,0.042410816,0.315200071,absolute,1
49,AmPlaice,1998,0.04194382,0.360344656,absolute,1
50,AmPlaice,1999,0.066222144,0.415586927,absolute,1
51,AmPlaice,2000,0.085170103,0.460749268,absolute,1
52,AmPlaice,2001,0.072517416,0.441014215,absolute,1
53,AmPlaice,2002,0.06683171,0.379970278,absolute,1
54,AmPlaice,2003,0.03652969,0.261049073,absolute,1
55,AmPlaice,2004,0.023527374,0.170570023,absolute,1
56,AmPlaice,2005,0.028940509,0.182735391,absolute,1
57,AmPlaice,2006,0.035921361,0.283802823,absolute,1
58,AmPlaice,2007,0.035410137,0.253333438,absolute,1
59,AmPlaice,2008,0.042164049,0.362006926,absolute,1
60,AmPlaice,2009,0.027357879,0.230612978,absolute,1
61,AmPlaice,2010,0.027214376,0.241175004,absolute,1
62,AmPlaice,2011,0.056792852,0.390389837,absolute,1
63,AmPlaice,2012,0.029859663,0.262161394,absolute,1
64,AmPlaice,2013,0.040091635,0.262074527,absolute,1
65,AmPlaice,2014,0.048738548,0.36063176,absolute,1
66,AmPlaice,2015,0.081682099,0.605512493,absolute,1
67,AmPlaice,2016,0.082069474,0.685872424,absolute,1
68,AmPlaice,2017,0.069157176,0.411539332,absolute,1
69,AmPlaice,2018,0.073856804,0.498310521,absolute,1
70,AmPlaice,2019,0.032144607,0.250980193,absolute,1
71,AtlHalibut,1985,0.019512593,0.019512593,absolute,1
72,AtlHalibut,1986,0.045028671,0.060313903,absolute,1
73,AtlHalibut,1987,0.004227667,0.006206108,absolute,1
74,AtlHalibut,1989,0.002359019,0.0035549,absolute,1
75,AtlHalibut,1990,0.003515753,0.006515563,absolute,1
76,AtlHalibut,1991,0.038131999,0.046027756,absolute,1
77,AtlHalibut,1992,0.028095016,0.038152131,absolute,1
78,AtlHalibut,1993,0.00409032,0.00887848,absolute,1
79,AtlHalibut,1995,0.012119623,0.012119623,absolute,1
80,AtlHalibut,1996,0.010231391,0.010231391,absolute,1
81,AtlHalibut,1997,0.022292422,0.031406423,absolute,1
82,AtlHalibut,1998,0.01085381,0.017533809,absolute,1
83,AtlHalibut,1999,0,0.000859486,absolute,1
84,AtlHalibut,2000,0.003934867,0.003934867,absolute,1
85,AtlHalibut,2001,0.037179276,0.044221833,absolute,1
