"","Group","Year","Value","Stdev","Scale"
"1","AmLobster",1980,0.128588007100055,0.0128588007100055,1
"2","AmLobster",1981,0.131666873681738,0.0131666873681738,1
"3","AmLobster",1982,0.132312112966343,0.0132312112966343,1
"4","AmLobster",1983,0.128022008699127,0.0128022008699127,1
"5","AmLobster",1984,0.114267847727574,0.0114267847727574,1
"6","AmLobster",1985,0.117655614885426,0.0117655614885426,1
"7","AmLobster",1986,0.114822781178088,0.0114822781178088,1
"8","AmLobster",1987,0.115064490755742,0.0115064490755742,1
"9","AmLobster",1988,0.127021896428643,0.0127021896428643,1
"10","AmLobster",1989,0.21427159146709,0.021427159146709,1
"11","AmLobster",1990,0.240778088017418,0.0240778088017418,1
"12","AmLobster",1991,0.262998912370809,0.0262998912370809,1
"13","AmLobster",1992,0.235021075934768,0.0235021075934768,1
"14","AmLobster",1993,0.242997356063063,0.0242997356063063,1
"15","AmLobster",1994,0.233277440361664,0.0233277440361664,1
"16","AmLobster",1995,0.158680499523154,0.0158680499523154,1
"17","AmLobster",1996,0.179455078098957,0.0179455078098957,1
"18","AmLobster",1997,0.248321042330395,0.0248321042330395,1
"19","AmLobster",1998,0.253465116477706,0.0253465116477706,1
"20","AmLobster",1999,0.30240115638641,0.030240115638641,1
"21","AmLobster",2000,0.269964510698658,0.0269964510698658,1
"22","AmLobster",2001,0.0594364930567361,0.00594364930567361,1
"23","AmLobster",2002,0.0665437586760076,0.00665437586760076,1
"24","AmLobster",2003,0.0548399424924504,0.00548399424924504,1
"25","AmLobster",2004,0.0472662982481638,0.00472662982481638,1
"26","AmLobster",2005,0.0312524089565495,0.00312524089565495,1
"27","AmLobster",2006,0.0472018433050289,0.00472018433050289,1
"28","AmLobster",2007,0.0371544385200096,0.00371544385200096,1
"29","AmLobster",2008,0.0686128253387624,0.00686128253387624,1
"30","AmLobster",2009,0.119096539561103,0.0119096539561103,1
"31","AmLobster",2010,0.318045913755429,0.0318045913755429,1
"32","AmLobster",2011,0.370216367298917,0.0370216367298917,1
"33","AmLobster",2012,0.459383345541922,0.0459383345541922,1
"34","AmLobster",2013,0.473632417194922,0.0473632417194922,1
"35","AmLobster",2014,0.501511785115627,0.0501511785115627,1
"36","AmLobster",2015,0.502028690376283,0.0502028690376283,1
"37","AmLobster",2016,0.542756236303282,0.0542756236303282,1
"38","AmLobster",2017,0.471627640731492,0.0471627640731492,1
"39","AmLobster",2018,0.520410957152699,0.0520410957152699,1
"40","AmLobster",2019,0.465182691320202,0.0465182691320202,1
"41","AmPlaice",1980,0.150336773755616,0.0150336773755616,1
"42","AmPlaice",1981,0.149788777634768,0.0149788777634768,1
"43","AmPlaice",1982,0.171273807390945,0.0171273807390945,1
"44","AmPlaice",1983,0.144983816387132,0.0144983816387132,1
"45","AmPlaice",1984,0.110646506646584,0.0110646506646584,1
"46","AmPlaice",1985,0.0781418227524644,0.00781418227524644,1
"47","AmPlaice",1986,0.0512422054497148,0.00512422054497148,1
"48","AmPlaice",1987,0.0429244151447598,0.00429244151447598,1
"49","AmPlaice",1988,0.0363500030193248,0.00363500030193248,1
"50","AmPlaice",1989,0.0264542541966216,0.00264542541966216,1
"51","AmPlaice",1990,0.0279108446237153,0.00279108446237153,1
"52","AmPlaice",1991,0.0469213420359741,0.00469213420359741,1
"53","AmPlaice",1992,0.0712167697858312,0.00712167697858312,1
"54","AmPlaice",1993,0.060484775858785,0.0060484775858785,1
"55","AmPlaice",1994,0.0564750430729403,0.00564750430729403,1
"56","AmPlaice",1995,0.051854834113778,0.0051854834113778,1
"57","AmPlaice",1996,0.0497039098046829,0.00497039098046829,1
"58","AmPlaice",1997,0.041893603864562,0.0041893603864562,1
"59","AmPlaice",1998,0.0399952319702424,0.00399952319702424,1
"60","AmPlaice",1999,0.0326019777340304,0.00326019777340304,1
"61","AmPlaice",2000,0.0457379421397847,0.00457379421397847,1
"62","AmPlaice",2001,0.0475405538788749,0.00475405538788749,1
"63","AmPlaice",2002,0.0361195686432533,0.00361195686432533,1
"64","AmPlaice",2003,0.0254593096517091,0.00254593096517091,1
"65","AmPlaice",2004,0.0170206172680494,0.00170206172680494,1
"66","AmPlaice",2005,0.0129146627096994,0.00129146627096994,1
"67","AmPlaice",2006,0.0109997749209288,0.00109997749209288,1
"68","AmPlaice",2007,0.0101767952080241,0.00101767952080241,1
"69","AmPlaice",2008,0.0117091176339134,0.00117091176339134,1
"70","AmPlaice",2009,0.0142019906073735,0.00142019906073735,1
"71","AmPlaice",2010,0.0153802605704161,0.00153802605704161,1
"72","AmPlaice",2011,0.0146014365938332,0.00146014365938332,1
"73","AmPlaice",2012,0.0155435644396701,0.00155435644396701,1
"74","AmPlaice",2013,0.0146784191786615,0.00146784191786615,1
"75","AmPlaice",2014,0.0138252751137509,0.00138252751137509,1
"76","AmPlaice",2015,0.0139976379030827,0.00139976379030827,1
"77","AmPlaice",2016,0.0115607093377854,0.00115607093377854,1
"78","AmPlaice",2017,0.0131300313196748,0.00131300313196748,1
"79","AmPlaice",2018,0.0130211643481959,0.00130211643481959,1
"80","AmPlaice",2019,0.0115800184158671,0.00115800184158671,1
"81","AtlHalibut",1980,0.000854240654069884,8.54240654069884e-05,1
"82","AtlHalibut",1981,0.000777378002629212,7.77378002629212e-05,1
"83","AtlHalibut",1982,0.000925761558457999,9.25761558457999e-05,1
"84","AtlHalibut",1983,0.000764986082730241,7.64986082730241e-05,1
"85","AtlHalibut",1984,0.000847500306744831,8.47500306744831e-05,1
"86","AtlHalibut",1985,0.000725007847954446,7.25007847954446e-05,1
"87","AtlHalibut",1986,0.000414990729088918,4.14990729088918e-05,1
"88","AtlHalibut",1987,0.000324722602049773,3.24722602049773e-05,1
"89","AtlHalibut",1988,0.000421410049513842,4.21410049513842e-05,1
"90","AtlHalibut",1989,0.000144398665958802,1.44398665958802e-05,1
"91","AtlHalibut",1990,0.000172320764542339,1.72320764542339e-05,1
"92","AtlHalibut",1991,0.000326422316229662,3.26422316229662e-05,1
"93","AtlHalibut",1992,0.000249202725868091,2.49202725868091e-05,1
"94","AtlHalibut",1993,0.000216108768517124,2.16108768517124e-05,1
"95","AtlHalibut",1994,0.000185352416370126,1.85352416370126e-05,1
"96","AtlHalibut",1995,9.00487858053749e-05,9.00487858053749e-06,1
"97","AtlHalibut",1996,0.000129084304714303,1.29084304714303e-05,1
"98","AtlHalibut",1997,0.000156014247955676,1.56014247955676e-05,1
"99","AtlHalibut",1998,8.32752992063347e-05,8.32752992063347e-06,1
"100","AtlHalibut",1999,0.000110967412198363,1.10967412198363e-05,1
"101","AtlHalibut",2000,0.000114654222399623,1.14654222399623e-05,1
"102","AtlHalibut",2001,0.000101369044232449,1.01369044232449e-05,1
