"","groups","EE"
"Phytoplankton","Phytoplankton","0.886166207682159"
"Bacteria","Bacteria","0.925595007840931"
"Microzooplankton","Microzooplankton","0.941296188139901"
"GelZooplankton","GelZooplankton","0.921048698028794"
"LgCopepods","LgCopepods","0.724672494878064"
"SmCopepods","SmCopepods","0.894456737237618"
"Micronekton","Micronekton","1.11090134970895"
"Illex","Illex","0.517282642978079"
"Loligo","Loligo","1.10085050102351"
"OtherCephalopods","OtherCephalopods","17.5819882830791"
"Macrobenthos","Macrobenthos","0.892853253159199"
"AmLobster","AmLobster","1.6884449022259"
"OceanPout","OceanPout","2.91618713052746"
"SmPelagics","SmPelagics","17.5966153708392"
"SmFlatfishes","SmFlatfishes","20.7895682768027"
"NShrimp","NShrimp","2.64514634827581"
"OtherShrimps","OtherShrimps","10.2077734466634"
"RiverHerring","RiverHerring","8.58559902069221"
"AtlScallop","AtlScallop","0.548358104777923"
"OtherPelagics","OtherPelagics","140.587431268846"
"AtlHerring","AtlHerring","15.1952120157798"
"Mesopelagics","Mesopelagics","89.6442063344618"
"YTFlounder","YTFlounder","1.53734297603839"
"Cod","Cod","0.539522210801496"
"Haddock","Haddock","0.735494230668138"
"AmPlaice","AmPlaice","1.58499292949822"
"AtlMackerel","AtlMackerel","12.5999919412948"
"AtlHalibut","AtlHalibut","1.83419441200762"
"SummerFlounder","SummerFlounder","2.33872869802665"
"Cusk","Cusk","0.597179417696077"
"OtherDemersals","OtherDemersals","15.7967519390714"
"HMS","HMS","0.00750911367048966"
"OtherSkates","OtherSkates","0.251683861987801"
"RedHake","RedHake","2.55254469832169"
"Barndoor","Barndoor","0"
"Fourspot","Fourspot","3.86002576383854"
"SmoothDogfish","SmoothDogfish","0.000405629138133452"
"Pollock","Pollock","0.264140765942513"
"Goosefish","Goosefish","0.946188625337382"
"SilverHake","SilverHake","13.9515684404795"
"WhiteHake","WhiteHake","0.256608510141989"
"SpinyDogfish","SpinyDogfish","0.552781544642986"
"Redfish","Redfish","5.33880523752913"
"LittleSkate","LittleSkate","1.0998932842386"
"SeaBirds","SeaBirds","0.0947025498745677"
"Windowpane","Windowpane","6.98060424945275"
"WinterFlounder","WinterFlounder","8.62089033968156"
"WitchFlounder","WitchFlounder","5.35349372944755"
"BlackSeaBass","BlackSeaBass","10.9198441515884"
"Butterfish","Butterfish","5.63056165042746"
"Sharks","Sharks","20.5892078488174"
"WinterSkate","WinterSkate","2.21958438169753"
"Pinnipeds","Pinnipeds","0.0139019313015873"
"BaleenWhales","BaleenWhales","0.000848664156810631"
"Odontocetes","Odontocetes","0.665749548990409"
"Megabenthos","Megabenthos","0.596360664227346"
"Detritus","Detritus","0.748932370442497"
"Discards","Discards","0.00511925547902515"
"Fixed Gear","Fixed Gear","0"
"HMS Fleet","HMS Fleet","0"
"LG Mesh","LG Mesh","0"
"Scallop Dredge","Scallop Dredge","0"
"Trap","Trap","0"
"Other Dredge","Other Dredge","0"
"Other","Other","0"
"Pelagic","Pelagic","0"
"SM Mesh","SM Mesh","0"
"Clam Dredge","Clam Dredge","0"
