"","x"
"Phytoplankton",0.886414993848161
"Bacteria",0.925595007840931
"Microzooplankton",0.941296188139901
"GelZooplankton",0.914884873129123
"LgCopepods",0.733478177157995
"SmCopepods",0.895818335730075
"Micronekton",1.11310738309812
"Illex",0.50598657400069
"Loligo",1.30260750231691
"OtherCephalopods",15.2435623220924
"Macrobenthos",0.892732371223584
"AmLobster",1.58943283200442
"OceanPout",3.59214268717577
"SmPelagics",1.52260451263346
"SmFlatfishes",10.3947841384014
"NShrimp",2.60622751890295
"OtherShrimps",10.0726457809527
"RiverHerring",15.9753018541531
"AtlScallop",0.548358104777923
"OtherPelagics",1.268449168216
"AtlHerring",15.5976265031011
"Mesopelagics",8.94214990001977
"YTFlounder",1.43947441099047
"Cod",0.535424177144832
"Haddock",0.731608112632767
"AmPlaice",1.51690495717893
"AtlMackerel",14.1847671638413
"AtlHalibut",1.83482383542991
"SummerFlounder",0.779597312952695
"Cusk",0.597292786787182
"OtherDemersals",16.2654667593025
"HMS",0.0214347238210859
"OtherSkates",0.252146727916984
"RedHake",1.2213331221249
"Barndoor",0
"Fourspot",2.35159978636994
"SmoothDogfish",0.000405629138133452
"Pollock",0.260191302656431
"Goosefish",0.909278361536136
"SilverHake",14.3947191581686
"WhiteHake",0.253528646857893
"SpinyDogfish",1.09603943298111
"Redfish",5.23170807359805
"LittleSkate",1.10008863465091
"SeaBirds",0.219819931588853
"Windowpane",6.28084551700057
"WinterFlounder",11.9110792537567
"WitchFlounder",5.32687940735301
"BlackSeaBass",7.93375141236976
"Butterfish",13.5745526136953
"Sharks",6.7414349921956
"WinterSkate",2.21999282499498
"Pinnipeds",0.0417057939047619
"BaleenWhales",0.00254599247043189
"Odontocetes",0.408900938542824
"Megabenthos",0.59377416717569
"Detritus",0.749425776727367
"Discards",0.00511925547902515
"Fixed Gear",0
"HMS Fleet",0
"LG Mesh",0
"Scallop Dredge",0
"Trap",0
"Other Dredge",0
"Other",0
"Pelagic",0
"SM Mesh",0
"Clam Dredge",0
