Group,Phytoplankton,Bacteria,Microzooplankton,GelZooplankton,LgCopepods,SmCopepods,Micronekton,Illex,Loligo,OtherCephalopods,Macrobenthos,AmLobster,OceanPout,SmPelagics,SmFlatfishes,NShrimp,OtherShrimps,RiverHerring,AtlScallop,OtherPelagics,AtlHerring,Mesopelagics,YTFlounder,Cod,Haddock,AmPlaice,AtlMackerel,AtlHalibut,SummerFlounder,Cusk,OtherDemersals,HMS,OtherSkates,RedHake,Barndoor,Fourspot,SmoothDogfish,Pollock,Goosefish,SilverHake,WhiteHake,SpinyDogfish,Redfish,LittleSkate,SeaBirds,Windowpane,WinterFlounder,WitchFlounder,BlackSeaBass,Butterfish,Sharks,WinterSkate,Pinnipeds,BaleenWhales,Odontocetes,Megabenthos
Phytoplankton,NA,0.4305193,0.2117425,0.08602893,0.6317893,0.7240587,0.1824,0,0,0,0.205095001,0,NA,0.1656693,NA,0.07548419,0.07548419,NA,0.7909901,NA,8.88E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.004376234,0,NA,0,NA,0,0.358817855
Bacteria,NA,0,0.1971663,0.02000673,0,0,0,0,0,0,0.226451309,0.1418395,NA,0,NA,0.4473137,0.4473137,NA,0.1188099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0.131392553
Microzooplankton,NA,0,0.09702543,0.05001682,0.04287973,0.1133734,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0
GelZooplankton,NA,0,0,0.04867304,0.02392604,0,0,0,0,0,0,0,0.000247787,0.02177701,NA,0,0,0.014958437,0,NA,0.003475019,NA,0.002593957,0.000383492,0.00441834,0.000476569,0.004568849,NA,NA,NA,0.008961361,0.09437622,0.000117124,1.30E-05,0.000109859,NA,NA,0.005117563,1.97E-06,7.18E-05,0.00089537,0.234365157,0.004688123,0.000918834,0,NA,0.029145678,0.002066807,NA,0.588963216,0,NA,0,NA,0,0
LgCopepods,NA,0,0,0.3601212,0.1276366,0,0.3664,0.1006037,0.1006037,0.1006037,0.001922152,0,1.26E-06,0.676395,NA,0,0,0.280330298,0,0.000147634,0.115331822,1,0.009491524,0.000139903,0.00040022,1.86E-06,0.208378452,NA,NA,NA,0,0,0.000891956,0.003886142,0.000823946,NA,NA,0.000306218,NA,0.000385922,2.10E-05,3.91E-05,0.0065797,0.000750152,0.03427451,0.006122902,0.004567758,2.68E-05,NA,0.009899292,0.03340645,0.000611766,0,0.153928,0,0
SmCopepods,NA,0,0,0.3301111,0.1097328,0.032,0.2208001,0,0,0,0.000381269,0,NA,0.08079781,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0
Micronekton,NA,0,0,0.004059562,0,0,0.0464,0.6706911,0.6706911,0.6706911,0.058024691,0,0.0014846,0.05170571,0.32832584,0.1509684,0.1509684,0.525564532,0,NA,0.63577141,NA,0.012587122,0.030464064,0.057655255,0.035040234,0.434422705,0.039832521,0.002953953,0.051055577,0.06147739,0,0.16328611,0.331398038,0.117864138,0.168276397,NA,0.240921058,0.003483648,0.241791462,0.074713371,0.075490652,0.658649472,0.066455265,0.2405256,0.54919567,0.004077247,0.02634338,0.276042432,0.140450953,0,0.052167445,0.00313569,0.5024855,0.000274618,0
Illex,NA,0,0,8.28E-05,0,0,0,0.019231725,0.019231725,0.019231725,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0.016842961,NA,NA,NA,0.068549531,NA,NA,0.003272644,0.022380462,0.006348224,0.001482229,NA,0.056058108,NA,0.006255326,0.024481382,0.001238177,0.022791138,0.008959066,NA,NA,0.028715926,NA,NA,NA,NA,NA,0.16077402,NA,0.059257402,0.028361212,0.329567353,0
Loligo,NA,0,0,8.96E-06,0,0,0,0.002080625,0.002080625,0.002080625,0,0,NA,0,NA,0,0,NA,0,0.024948458,NA,NA,NA,0.013577314,NA,NA,0.002855531,0.001507838,0.152910513,NA,0.000354058,0.002421278,0.00794469,0.010484148,NA,0.002537592,0.003457815,0.008895853,0.004302597,0.006268783,0.000755124,0.011992911,NA,0.009573918,0.003106694,NA,NA,NA,0.047741674,NA,0.01739368,NA,0.006410888,0.003068318,0.035654947,0
OtherCephalopods,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0.004178653,0.000295998,NA,NA,0.011227159,0.008393192,NA,0.011422122,0.045521869,0.027801911,0.110819436,0,0,0.041821783,0.011614031,0.009722012,0.09469969,0.062240664,0.005972527,0.018503252,0.004073522,0.017597937,0.017645373,0.00212301,0.007005286,0,0.000820239,0.016499508,0.000201247,0.023870837,NA,0,0.005537525,0,0,0,0
Macrobenthos,NA,0,0,0,0.00207612,0,0,0.16767277,0.16767277,0.16767277,0.102683179,0.62061137,0.839453942,0.00365503,0.67167416,0.112991654,0.112991654,0.150501376,0,0.011369735,0.092364035,NA,0.899776435,0.078209271,0.748695159,0.893150419,0.167910478,0.003368177,NA,0.032921879,0.6389618,0,0.250032126,0.102897893,0.002093921,0.055709544,0.0802213,0.019405002,0.004898107,0.011073928,0.005504311,0.038923481,0.020311935,0.471986705,0,0.103035679,0.923092405,0.961540736,0.132457032,0.256310304,0.02227096,0.329318532,0.010824104,NA,0.005182796,0.339082637
AmLobster,NA,0,0,0,0,0,0,0,0,0,8.42E-05,0.0009719,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0.00608773,0.000878187,NA,0.000380737,0.01570665,NA,NA,0.002239933,0,0.000582611,0.000894672,0.001768737,NA,0.16735823,NA,0.004473772,4.76E-05,0.000331477,0.011348135,NA,0.016961504,0,NA,0.00115786,NA,0.039784728,NA,0,0.004864648,0,NA,0,0.000531016
OceanPout,NA,0,0,0,0,0,0,0,0,0,9.68E-06,3.13E-05,NA,0,NA,0,0,NA,0,0.029652032,NA,NA,NA,0.011267768,0.000270211,NA,NA,0.088367325,NA,NA,0.000402329,0,0.021259077,0.005316167,NA,NA,NA,NA,0.017462459,NA,0.000390153,0.015442283,NA,0.001119828,0.000215786,0.002952859,NA,NA,NA,NA,0.000600722,0.00108349,0.002714583,0.000165368,0.001202363,1.71E-05
SmPelagics,NA,0,0,0.000414037,0,0,0,0.007159837,0.007159837,0.007159837,0,0,0.001236083,0,NA,0,0,NA,0,0.186329934,0.001035994,NA,0.06182264,0.144675271,0.046683667,NA,0.096041013,0.039609772,0.102519548,NA,0.001640947,0.570386226,0.024835828,0.031837626,NA,0.021396225,NA,0.054540534,0.052698681,0.134784373,0.114361931,0.139620156,NA,0.054096327,0.23875322,0.142721503,0.003531474,NA,NA,NA,0.067598082,0.3463883,0.208860455,0.065953388,0.053599284,0
SmFlatfishes,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0.001138892,NA,NA,NA,NA,NA,NA,0,0,NA,0.000343522,3.85E-05,0.002353585,NA,NA,0.002703928,NA,7.32E-05,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0
NShrimp,NA,0,0,0,0,0,0,0.007085955,0.007085955,0.007085955,0,0,NA,0,NA,0.000377515,0.000377515,NA,0,NA,NA,NA,NA,0.00736989,0.00216691,0.007749355,NA,0.027712356,NA,NA,0.005088267,0,0.008954755,0.009086217,0.034825445,0.005990943,NA,0.003714603,0.002427162,0.002425784,0.007335108,0.002468684,0.011648095,0.005578632,0.006471918,0.001640477,NA,NA,NA,NA,0,0.000294827,0.000940707,NA,8.24E-05,0
OtherShrimps,NA,0,0,0,0,0,0,0.016533895,0.016533895,0.016533895,0,0,0.000208182,0,NA,0.000880867,0.000880867,0.015175846,0,NA,0.128179064,NA,0.006052566,0.036495062,0.026304005,0.037373155,0.060765691,0.054674562,0.001390096,0.048211887,0.011872623,0,0.088194954,0.219723873,0.065706585,0.346972685,NA,0.25459484,0.00412883,0.089256713,0.079602528,0.027492075,0.18377694,0.168894078,0.015101142,0.187604955,0.001681792,0.004867983,0.12044935,NA,0,0.058947312,0.002194983,NA,0.000192233,0
RiverHerring,NA,0,0,8.16E-05,0,0,0,0.001356397,0.001356397,0.001356397,0,0,NA,0,NA,0,0,NA,0,0.116432466,NA,NA,NA,0.009000341,0.001992808,NA,NA,0.007386352,NA,NA,0.000361784,0.125754444,NA,NA,0.006316918,NA,NA,0.010803616,0.016907595,0.009185841,0.010904466,0.009185962,NA,NA,0.0481894,NA,NA,NA,NA,NA,0.009993381,0.001768963,0.046047974,0.014540904,0.011817165,0
AtlScallop,NA,0,0,0,0,0,0,0,0,0,2.17E-05,0.000125197,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000673518,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,6.84E-05
OtherPelagics,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0.067428264,NA,NA,NA,0.002199638,NA,NA,NA,NA,0.173761946,NA,0,0,0.000513542,0.005890387,NA,NA,NA,0.004744208,NA,0.026565186,0.004326734,0.009419117,NA,0.008203871,0.000353094,NA,NA,NA,NA,NA,0.031213,NA,0,NA,0,0
AtlHerring,NA,0,0,0.000285108,0,0,0,0.005992326,0.005992326,0.005992326,0,0,NA,0,NA,0,0,NA,0,0.16847569,0.001183993,NA,NA,0.191108523,0.034587044,NA,0.000285553,0.069285174,NA,NA,0.038401047,0.143289468,0.064014551,0.039854581,0.029799375,NA,NA,0.079491841,0.073856564,0.206911112,0.175057609,0.172104504,0.012594127,0.011321342,0.24802551,0.000984286,NA,NA,NA,NA,0.185956609,0.040538737,0.108129931,0.123335273,0.181954144,0
Mesopelagics,NA,0,0,2.92E-06,0,0,0,4.84E-05,4.84E-05,4.84E-05,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,6.08E-06,0.000330702,NA,NA,NA,NA,NA,1.29E-05,0.00449123,0.000629781,3.89E-05,NA,NA,NA,0.007902477,NA,2.69E-05,0.000428711,7.77E-05,0.000269874,NA,0.00172105,0.001640477,NA,NA,NA,NA,0.000356906,NA,0.001644571,0.000519318,0.000422042,0
YTFlounder,NA,0,0,0,0,0,0,0,0,0,8.91E-06,2.88E-05,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0.00067921,NA,NA,NA,NA,NA,NA,0.000370566,0,1.77E-05,5.56E-06,NA,NA,NA,NA,0.006502209,NA,1.07E-05,0.001936598,NA,1.97E-05,0.000198751,NA,NA,NA,NA,NA,0.000553296,9.58E-05,0.002500274,0.000152312,0.00110744,1.57E-05
Cod,NA,0,0,0,0,0,0,0,0,0,0.000524726,0.001643948,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0.006089525,NA,NA,NA,0.017659986,NA,NA,0.004000672,0,NA,0.001111394,NA,NA,NA,NA,0.020009067,0.000118434,0.001972482,0.004393617,NA,NA,0.028345073,NA,NA,NA,NA,NA,0.077356067,NA,0.246720271,0.049317627,0.175951346,0.000898202
Haddock,NA,0,0,0,0,0,0,0,0,0,0.000317099,0.001024752,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0.001244532,NA,NA,NA,0.022617576,NA,NA,0.013181574,0,0.005914829,0.001060068,0.03185924,0.015405282,NA,0.000927117,0.070684119,0.001076676,0.007239164,0.00200209,NA,NA,0.007069847,NA,NA,NA,NA,NA,0.019681538,NA,0.088938318,0.005417963,0.039393221,0.000559893
AmPlaice,NA,0,0,0,0,0,0,0,0,0,0.000120217,0.0003885,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0.014645828,NA,NA,NA,0.0314133,NA,NA,0.004997352,0,0.008381945,0.000338049,0.004806351,0.006739811,NA,NA,0.061762283,7.18E-05,0.000715811,0.011754466,7.97E-05,0.003117471,0.002680295,NA,NA,NA,NA,NA,0.007461595,0.00249866,0.033717981,0.002054039,0.014934619,0.000212265
AtlMackerel,NA,0,0,5.72E-05,0,0,0,0.001202473,0.001202473,0.001202473,0,0,NA,0,NA,0,0,NA,0,0.032099652,NA,NA,NA,0.008284269,NA,NA,NA,NA,0.086880973,NA,0.007705896,0.028753739,0.001478707,0.000726649,NA,NA,NA,0.017578089,0.003362703,0.038491168,0.003660391,0.016891053,NA,NA,0.049771005,NA,NA,NA,NA,NA,0.037315707,0.0303672,0.021698314,0.024749553,0.036512537,0
AtlHalibut,NA,0,0,0,0,0,0,0,0,0,4.02E-06,1.26E-05,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06E-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000217037,NA,NA,NA,NA,NA,0.000592313,NA,0.001889129,0.000377623,0.001347254,6.88E-06
SummerFlounder,NA,0,0,0,0,0,0,0,0,0,5.09E-07,1.65E-06,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12E-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14E-05,NA,NA,NA,NA,NA,3.16E-05,NA,0.000142873,8.70E-06,6.33E-05,8.99E-07
Cusk,NA,0,0,0,0,0,0,0,0,0,5.07E-05,0.000163796,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002106934,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00113004,NA,NA,NA,NA,NA,0.003145884,NA,0.014215844,0.000866004,0.006296587,8.95E-05
OtherDemersals,NA,0,0,0,0,0,0,0,0,0,5.55E-05,0.000179435,NA,0,NA,0,0,NA,0,0.065338937,0.000147999,NA,NA,0.055488672,0.010294252,0.002029673,NA,0.132513863,0.06342311,0.519880158,0.002308099,0,0.154522803,0.06592868,0.046482631,0.0918112,0.001383126,0.002818203,0.215688155,0.008000068,0.0555973,0.066014062,0.00073324,0.020992052,0.001237933,NA,NA,NA,0.035010561,NA,0.003446245,0.04398453,0.015573135,0.000948687,0.006897769,9.80E-05
HMS,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.01113548,NA,0,NA,0,0
OtherSkates,NA,0,0,0,0,0,0,0,0,0,7.18E-05,0.000861921,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0.00150149,NA,NA,NA,NA,0.047784535,NA,0.006034971,0,NA,NA,0.000242789,NA,NA,NA,0.027562197,NA,NA,0.000371696,NA,NA,0.013199964,NA,NA,NA,NA,NA,0.088907281,0.001474136,0.02445018,0.011002049,0.045566041,0.000470927
RedHake,NA,0,0,0,0,0,0,0,0,0,0.000106209,0.00034323,NA,0,NA,0,0,NA,0,0.079621469,NA,NA,NA,0.031066026,0.000108085,0.001645103,NA,0.000753919,NA,NA,0.004415033,0,0.019269033,0.007595265,0.007470442,0.037272223,NA,0.000175711,0.03927377,0.00071599,0.012015425,0.008468757,0.000161924,0.001150183,0.002367973,NA,NA,NA,NA,NA,0.006592129,NA,0.029788979,0.001814691,0.013194356,0.00018753
