"Group","Type","Biomass","PB","QB","EE","ProdCons","BioAcc","Unassim","DetInput","Detritus","Discards","Fixed Gear","HMS Fleet","LG Mesh","Scallop Dredge","Trap","Other Dredge","Other","Pelagic","SM Mesh","Clam Dredge","Fixed Gear.disc","HMS Fleet.disc","LG Mesh.disc","Scallop Dredge.disc","Trap.disc","Other Dredge.disc","Other.disc","Pelagic.disc","SM Mesh.disc","Clam Dredge.disc"
"Phytoplankton",1,22.126,163.14,0,NA,NA,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria",0,5.484,91.25,380.21,NA,NA,0,0.4,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microzooplankton",0,4.885,72,242.42,NA,NA,0,0.4,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GelZooplankton",0,1.283,35,146,NA,NA,0,0.4,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LgCopepods",0,11.955,35,109.5,NA,NA,0,0.4,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SmCopepods",0,10.403,30.92,127.75,NA,NA,0,0.4,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micronekton",0,4.874,14.25,36.5,NA,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Illex",0,0.350393015527966,5.72,19,NA,NA,0,0.2,NA,1,0,5.38335211347822e-05,0,0.00177088455994159,0,0,0,0,1.59760624961583e-06,0.000221781151940988,0,0,0,1.52166662138023e-05,0,0,0,0,0,0,0
"Loligo",0,0.0386336821511618,5.72,19,NA,NA,0,0.2,NA,1,0,9.21770393717741e-06,0,4.45191862256583e-05,0,0,0,0,0,0.000163770616648119,0,0,0,0,0,0,0,0,0,0,0
"OtherCephalopods",0,8.01811189448622e-05,5.72,19,NA,NA,0,0.2,NA,1,0,2.12045920403556e-06,0,6.34743486665549e-05,0,0,0,0,0,1.47328343600936e-05,0,0,0,0,0,0,0,0,0,0,0
"Macrobenthos",0,57.784,2.4,16.84,NA,NA,0,0.2,NA,1,0,0,0,1.35070346558429e-05,0,0.000107748374951363,0.0178598803895159,0,0,1.39427454511927e-06,0,0,0,0,0,1.93847175661874e-05,0,0,0,0,0
"AmLobster",0,0.083951177689427,2.3,15.53,NA,NA,0.0175025616192225,0.2,NA,1,0,2.03622178360127e-06,0,0.000208583471949843,0,0.113282606935547,0,0,0,0.000330640589420493,0,0,0,0,0,0.0130008249448447,0,0,0,0,0
"OceanPout",0,0.039337438627385,1.84,7,NA,NA,0,0.2,NA,1,0,0,0,0.000518771796636617,0,0,0,0,0,0.00679556922915,0,0,0,5.5127331728263e-06,0,0,0,0,0,1.33821330768812e-05,0
"SmPelagics",0,0.111741959149471,1.61,5.39,NA,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,2.32379090853212e-07,0,0,0,0,0,0,0,0,0,0,0
