"Group","Biomass","PB","QB","Diet","Fixed Gear","HMS Fleet","LG Mesh","Scallop Dredge","Trap","Other Dredge","Other","Pelagic","SM Mesh","Clam Dredge"
"Phytoplankton",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bacteria",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Microzooplankton",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"GelZooplankton",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"LgCopepods",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SmCopepods",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Micronekton",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Illex",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Loligo",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OtherCephalopods",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Macrobenthos",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AmLobster",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OceanPout",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SmPelagics",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SmFlatfishes",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"NShrimp",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OtherShrimps",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"RiverHerring",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AtlScallop",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OtherPelagics",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AtlHerring",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Mesopelagics",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"YTFlounder",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cod",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Haddock",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AmPlaice",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AtlMackerel",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AtlHalibut",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SummerFlounder",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cusk",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OtherDemersals",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HMS",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"OtherSkates",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"RedHake",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Barndoor",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Fourspot",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SmoothDogfish",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Pollock",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Goosefish",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SilverHake",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"WhiteHake",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SpinyDogfish",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Redfish",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"LittleSkate",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SeaBirds",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Windowpane",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"WinterFlounder",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"WitchFlounder",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BlackSeaBass",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Butterfish",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Sharks",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"WinterSkate",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Pinnipeds",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BaleenWhales",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Odontocetes",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Megabenthos",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Detritus",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Discards",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Fixed Gear",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HMS Fleet",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"LG Mesh",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Scallop Dredge",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Trap",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Other Dredge",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Other",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Pelagic",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SM Mesh",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Clam Dredge",1,1,1,1,1,1,1,1,1,1,1,1,1,1
