"","RPATH","Biomass"
"1"," Loligo",NA
"2","AmLobster",0.0822732998505953
"3","AmPlaice",0.472313472232834
"4","AtlHerring",0.299095159986251
"5","AtlMackerel",0.0597976570987786
"6","AtlScallop",0.036950045970254
"7","Bacteria",5.484
"8","BaleenWhales",0.602
"9","Barndoor Skate",NA
"10","BlackSeaBass",0.00169201878515936
"11","Cod",1.95866452580344
"12","Cusk",NA
"13","Fourspot",0.00523581700394663
"14","GelZooplankton",1.283
"15","Goosefish",0.278907896973008
"16","HMS",0.00587
"17","Haddock",1.24525862107272
"18","Illex",0.341833722656586
"19","LgCopepods",11.955
"20","LittleSkate",0.053968909549928
"21","Macrobenthos",57.784
"22","Mesopelagics",0.000207834782683939
"23","Micronekton",4.874
"24","Microzooplankton",4.885
"25","NShrimp",0.0719462333809239
"26","OceanPout",0.0381441043834577
"27","Odontocetes",0.0336
"28","OtherCephalopods",6.01411826814041e-05
"29","OtherDemersals",0.0218550831467882
"30","OtherPelagics",0.00130337974380547
"31","OtherSkates",0.503598654416397
"32","Phytoplankton",22.126
"33","Pinnipeds",0.063
"34","Pollock",1.38793769572008
"35","RedHake",0.417163816593619
"36","Redfish",0.442019366996107
"37","RiverHerring",0.0153705936969472
"38","SeaBirds",0.0035
"39","Sharks",0.00296
"40","SilverHake",1.0147101039348
"41","SmCopepods",10.403
"42","SmFlatfishes",4.83881193542262e-06
"43","SmPelagics",0.0732273236794898
"44","SmoothDogfish",0.00320750756033222
"45","SouthernDemersals",0
"46","SpinyDogfish",1.48373048805475
"47","SummerFlounder",0.00158765813106986
"48","WhiteHake",1.82796183100912
"49","Windowpane",0.0078843528185388
"50","WinterFlounder",0.0955676968673548
"51","WinterSkate",0.121550262300165
"52","WitchFlounder",0.169013353458123
"53","YTFlounder",0.0351525402513914
