"","Rpred","Rprey","preyper"
"1","AmPlaice","LgCopepods",1.85782385760586e-06
"2","AmPlaice","GelZooplankton",0.000476568975953054
"3","AmPlaice","RedHake",0.00164510302590999
"4","AmPlaice","OtherDemersals",0.0020296725644344
"5","AmPlaice","Redfish",0.00285733309299781
"6","AmPlaice","SilverHake",0.00525308984857344
"7","AmPlaice","NShrimp",0.00774935487484555
"8","AmPlaice","Megabenthos",0.0144232118028754
"9","AmPlaice","Micronekton",0.035040233711566
"10","AmPlaice","OtherShrimps",0.0373731551486297
"11","AmPlaice","Macrobenthos",0.893150419130357
"12","AtlHalibut","RedHake",0.000753919190655229
"13","AtlHalibut","Loligo",0.00150783838131046
"14","AtlHalibut","Macrobenthos",0.00336817739172079
"15","AtlHalibut","RiverHerring",0.007386351925174
"16","AtlHalibut","AmLobster",0.0157066498053173
"17","AtlHalibut","Redfish",0.0175914477819553
"18","AtlHalibut","Cod",0.0176599858901967
"19","AtlHalibut","Haddock",0.0226175757196569
"20","AtlHalibut","NShrimp",0.0277123559957802
"21","AtlHalibut","AmPlaice",0.0314132996106345
"22","AtlHalibut","WitchFlounder",0.0356855083576808
"23","AtlHalibut","SmPelagics",0.0396097719752217
"24","AtlHalibut","Micronekton",0.0398325208270062
"25","AtlHalibut","OtherCephalopods",0.0455218691921235
"26","AtlHalibut","OtherShrimps",0.0546745623968584
"27","AtlHalibut","Illex",0.0685495312594247
"28","AtlHalibut","AtlHerring",0.0692851736212156
"29","AtlHalibut","OceanPout",0.088367325257421
"30","AtlHalibut","SilverHake",0.111443649381574
"31","AtlHalibut","OtherDemersals",0.132513863077501
"32","AtlHalibut","Megabenthos",0.168798622961572
"33","AtlHerring","Phytoplankton",8.8799462747105e-05
"34","AtlHerring","OtherDemersals",0.000147999104578508
"35","AtlHerring","Megabenthos",0.000284158280790736
"36","AtlHerring","OtherCephalopods",0.000295998209157017
"37","AtlHerring","SmPelagics",0.00103599373204956
"38","AtlHerring","AtlHerring",0.00118399283662807
"39","AtlHerring","GelZooplankton",0.00347501897550338
"40","AtlHerring","SilverHake",0.0218417078536963
"41","AtlHerring","Macrobenthos",0.0923640346353425
"42","AtlHerring","LgCopepods",0.115331821930599
"43","AtlHerring","OtherShrimps",0.128179064493355
"44","AtlHerring","Micronekton",0.635771410485554
"45","AtlMackerel","AtlHerring",0.000285553060725575
"46","AtlMackerel","AmLobster",0.000380737414300767
"47","AtlMackerel","Megabenthos",0.000475921767875959
"48","AtlMackerel","SilverHake",0.00107082397772091
"49","AtlMackerel","Loligo",0.00285553060725575
"50","AtlMackerel","GelZooplankton",0.00456884897160921
"51","AtlMackerel","OtherCephalopods",0.011422122429023
"52","AtlMackerel","Butterfish",0.011422122429023
"53","AtlMackerel","OtherShrimps",0.0607656913224025
"54","AtlMackerel","SmPelagics",0.0960410127573686
"55","AtlMackerel","Macrobenthos",0.1679104781117
"56","AtlMackerel","LgCopepods",0.208378452159115
"57","AtlMackerel","Micronekton",0.434422704991879
"58","Barndoor","SmFlatfishes",3.84508068067875e-05
"59","Barndoor","GelZooplankton",0.000109859448019393
"60","Barndoor","OtherSkates",0.000242789380122858
"61","Barndoor","LgCopepods",0.000823945860145447
"62","Barndoor","AmLobster",0.00176873711311223
"63","Barndoor","Macrobenthos",0.00209392107924963
"64","Barndoor","AmPlaice",0.00480635085084844
"65","Barndoor","Goosefish",0.00593241019304722
"66","Barndoor","RiverHerring",0.0063169182611151
"67","Barndoor","WitchFlounder",0.00659156688116358
"68","Barndoor","RedHake",0.00747044246531872
"69","Barndoor","OtherCephalopods",0.00972201185247618
"70","Barndoor","AtlHerring",0.0297993752752603
"71","Barndoor","Haddock",0.031859239925624
"72","Barndoor","NShrimp",0.0348254450221476
"73","Barndoor","OtherDemersals",0.0464826310514853
"74","Barndoor","SilverHake",0.0498267526491957
"75","Barndoor","Redfish",0.0601864985974244
"76","Barndoor","OtherShrimps",0.0657065853088875
"77","Barndoor","Micronekton",0.117864137979152
"78","Barndoor","Megabenthos",0.517531929999397
"79","BlackSeaBass","OtherCephalopods",0.0238708370706866
"80","BlackSeaBass","OtherDemersals",0.035010561037007
"81","BlackSeaBass","AmLobster",0.0397847284511443
"82","BlackSeaBass","Loligo",0.0477416741413732
"83","BlackSeaBass","LittleSkate",0.0875264025925176
"84","BlackSeaBass","OtherShrimps",0.120449350423888
"85","BlackSeaBass","Macrobenthos",0.132457032493273
"86","BlackSeaBass","Megabenthos",0.23711698156882
"87","BlackSeaBass","Micronekton",0.27604243222129
"88","Butterfish","Phytoplankton",0.00437623441224759
"89","Butterfish","LgCopepods",0.0098992919555756
"90","Butterfish","Micronekton",0.14045095342725
"91","Butterfish","Macrobenthos",0.256310304301364
"92","Butterfish","GelZooplankton",0.588963215903562
"93","Cod","Mesopelagics",6.07794773731367e-06
"94","Cod","Windowpane",7.09093902686595e-05
"95","Cod","BlackSeaBass",0.000121558954746273
"96","Cod","LgCopepods",0.000139903306098893
"97","Cod","GelZooplankton",0.000383491506664413
"98","Cod","YTFlounder",0.000679210186038486
"99","Cod","SmFlatfishes",0.00113889163553949
"100","Cod","SpinyDogfish",0.00123874363408107
"101","Cod","Haddock",0.00124453215573566
"102","Cod","OtherSkates",0.00150148989427507
"103","Cod","Pollock",0.00169024832313866
"104","Cod","Sharks",0.00173655649637533
"105","Cod","Butterfish",0.00201729979662268
"106","Cod","OtherPelagics",0.00219963822874209
"107","Cod","WitchFlounder",0.0025295839630534
"108","Cod","WhiteHake",0.00410985037475496
"109","Cod","AmLobster",0.00608773033890992
"110","Cod","Cod",0.00608952478062284
"111","Cod","NShrimp",0.00736989009556319
"112","Cod","Goosefish",0.00827063974007026
"113","Cod","AtlMackerel",0.0082842690774206
"114","Cod","RiverHerring",0.00900034077984718
"115","Cod","WinterFlounder",0.00907374449671972
"116","Cod","OtherCephalopods",0.0112271587489037
"117","Cod","OceanPout",0.0112677678594569
"118","Cod","Loligo",0.0135773143275423
"119","Cod","Redfish",0.0144553951740374
"120","Cod","AmPlaice",0.0146458280643468
"121","Cod","Illex",0.0168429614419002
"122","Cod","Micronekton",0.0304640635151049
"123","Cod","RedHake",0.0310660263006464
"124","Cod","OtherShrimps",0.0364950623424577
"125","Cod","OtherDemersals",0.0554886724913871
"126","Cod","Macrobenthos",0.0782092705628421
"127","Cod","Megabenthos",0.104699107660478
"128","Cod","SmPelagics",0.144675271260815
"129","Cod","SilverHake",0.170793452273653
"130","Cod","AtlHerring",0.191108522873403
"131","Cusk","Megabenthos",0.0221367256659153
"132","Cusk","Macrobenthos",0.032921878855833
"133","Cusk","OtherShrimps",0.0482118871865027
"134","Cusk","SilverHake",0.0510108596820434
"135","Cusk","Micronekton",0.0510555769941023
"136","Cusk","OtherCephalopods",0.110819436462496
"137","Cusk","Redfish",0.163963477549425
"138","Cusk","OtherDemersals",0.519880157603682
"139","Fourspot","SmFlatfishes",0.00235358470167765
"140","Fourspot","Loligo",0.00253759223289973
"141","Fourspot","Butterfish",0.00256754694728471
"142","Fourspot","Redfish",0.00596954665243696
"143","Fourspot","NShrimp",0.00599094287699766
"144","Fourspot","AmPlaice",0.00673981073662237
"145","Fourspot","Haddock",0.0154052816837083
"146","Fourspot","Megabenthos",0.0173437796289082
"147","Fourspot","SmPelagics",0.0213962245607059
"148","Fourspot","RedHake",0.0372722231847498
"149","Fourspot","Macrobenthos",0.0557095443998424
"150","Fourspot","Illex",0.0560581083490496
"151","Fourspot","SilverHake",0.0688958430854731
"152","Fourspot","OtherDemersals",0.0918111995899892
"153","Fourspot","OtherCephalopods",0.0946996899056845
"154","Fourspot","Micronekton",0.168276396708971
"155","Fourspot","OtherShrimps",0.346972684754999
"156","Goosefish","GelZooplankton",1.96649308240346e-06
"157","Goosefish","BlackSeaBass",0.000206481773652364
"158","Goosefish","Fourspot",0.000663280239484848
"159","Goosefish","Megabenthos",0.000815173952890675
"160","Goosefish","Windowpane",0.000983246541201731
"161","Goosefish","NShrimp",0.00242716196416631
"162","Goosefish","SmFlatfishes",0.00270392798830476
"163","Goosefish","Butterfish",0.00288228676561357
"164","Goosefish","Pollock",0.00294973962360519
"165","Goosefish","AtlMackerel",0.00336270317090992
"166","Goosefish","Micronekton",0.00348364830557093
"167","Goosefish","OtherShrimps",0.00412883028351608
"168","Goosefish","Loligo",0.00430259747824958
"169","Goosefish","AmLobster",0.00447377176246788
"170","Goosefish","Macrobenthos",0.00489810727111
