,Group,type,PB,M0,Fixed Gear,HMS Fleet,LG Mesh,Scallop Dredge,Trap,Other Dredge,Other,Pelagic,SM Mesh,Clam Dredge,M2.Phytoplankton,M2.Bacteria,M2.Microzooplankton,M2.GelZooplankton,M2.LgCopepods,M2.SmCopepods,M2.Micronekton,M2.Illex,M2.Loligo,M2.OtherCephalopods,M2.Macrobenthos,M2.AmLobster,M2.OceanPout,M2.SmPelagics,M2.SmFlatfishes,M2.NShrimp,M2.OtherShrimps,M2.RiverHerring,M2.AtlScallop,M2.OtherPelagics,M2.AtlHerring,M2.Mesopelagics,M2.YTFlounder,M2.Cod,M2.Haddock,M2.AmPlaice,M2.AtlMackerel,M2.AtlHalibut,M2.SummerFlounder,M2.Cusk,M2.OtherDemersals,M2.HMS,M2.OtherSkates,M2.RedHake,M2.Barndoor,M2.Fourspot,M2.SmoothDogfish,M2.Pollock,M2.Goosefish,M2.SilverHake,M2.WhiteHake,M2.SpinyDogfish,M2.Redfish,M2.LittleSkate,M2.SeaBirds,M2.Windowpane,M2.WinterFlounder,M2.WitchFlounder,M2.BlackSeaBass,M2.Butterfish,M2.Sharks,M2.WinterSkate,M2.Pinnipeds,M2.BaleenWhales,M2.Odontocetes,M2.Megabenthos
Phytoplankton,Phytoplankton,1,163.14,18.57084488,0,0,0,0,0,0,0,0,0,0,0,40.57053163,11.33282398,0.728318137,37.379463,43.49009691,1.46656162,0,0,0,9.019902781,0,0,0.004509664,0,0.002431283,0.003857499,0,0.009064601,0,4.58E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45E-05,0,0,0,0,0,0.561574943
Bacteria,Bacteria,0,91.25,6.789455535,0,0,0,0,0,0,0,0,0,0,0,0,42.57633315,0.683373569,0,0,0,0,0,0,40.18158642,0.03372081,0,0,0,0.058129589,0.092229008,0,0.005493331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8296786
Microzooplankton,Microzooplankton,0,72,4.226674454,0,0,0,0,0,0,0,0,0,0,0,0,23.52090474,1.917922352,11.49082402,30.84367443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GelZooplankton,GelZooplankton,0,35,2.763295569,0,0,0,0,0,0,0,0,0,0,0,0,0,7.10626384,24.41225331,0,0,0,0,0,0,0,5.32E-05,0.01022296,0,0,0,0.003180838,0,0,0.003090933,0,0.00023648,0.001336706,0.012535423,0.000755174,0.00047659,0,0,0,0.002723791,0.001019028,0.000297724,4.06E-06,0,0,0,0.021901947,1.06E-06,0.00017455,0.003946095,0.615481014,0.004782811,3.18E-05,0,0,0.002059569,0.000255883,0,0.033619688,0,0,0,0,0,0
LgCopepods,LgCopepods,0,35,9.63657806,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64259163,13.9762077,0,5.452356872,0.05602391,0.006177092,1.28E-05,0.156454403,0,2.91E-08,0.034076568,0,0,0,0.006397385,0,3.15E-07,0.011009274,0.000163757,9.29E-05,5.23E-05,0.000121858,3.16E-07,0.002332748,0,0,0,0,0,0.000243326,0.000130122,0,0,0,0.000140646,0,0.000100717,9.91E-06,1.10E-05,0.00072039,2.78E-06,5.38E-05,3.75E-06,3.46E-05,3.56E-07,0,6.06E-05,5.13E-06,5.26E-06,0,0.017827579,0,0
SmCopepods,SmCopepods,0,30.92,3.263397685,0,0,0,0,0,0,0,0,0,0,0,0,0,5.944030667,13.80834287,4.088,3.775887589,0,0,0,0.035663347,0,0,0.004677847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronekton,Micronekton,0,14.25,-1.578441207,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156017447,0,0,1.6936,0.916106702,0.101008221,0.000209634,11.58449219,0,8.39E-05,0.00638937,1.81E-06,0.022074101,0.035022997,0.029418636,0,0,0.148858821,0,0.000302065,0.027951748,0.043058604,0.014616024,0.011928658,0.000187775,3.32E-06,0.003569974,0.004918768,0,0.109259155,0.027217297,0,0.000171602,0,0.27141599,0.000494738,0.154777635,0.086677089,0.05218623,0.17688042,0.000605039,0.000925782,0.000824722,7.58E-05,0.000858528,8.21E-05,0.002110432,0,0.001099753,0.000196576,0.142745471,1.61E-05,0
Illex,Illex,0,5.72,3.93238352,0.000153638,0,0.005097422,0,0,0,0,4.56E-06,0.00063295,0,0,0,0,0.044284694,0,0,0,0.365402771,0.04028863,8.36E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214965949,0,0,0,0.004495048,0,0,0.00364225,0.000884838,0.059086864,0.001693325,0,0.000795185,0,0.098025871,0.048362309,0.011025041,0.367791838,0.086150057,0,0,0.001537447,0,0,0,0,0,0.000842062,0,0.051673687,0.112071109,0.26862532,0
Loligo,Loligo,0,5.72,-0.576126459,0.000238592,0,0.001152341,0,0,0,0,0,0.004239063,0,0,0,0,0.043452884,0,0,0,0.358539322,0.039531879,8.20E-05,0,0,0,0,0,0,0,0,0,0.016485352,0,0,0,1.571644902,0,0,0.009892027,0.000896755,0.021658839,0,0.003573837,0.000868218,0.670663997,0.108629461,0,0.000326468,0.00072286,1.264351134,0.077088777,0.506255678,0.110520776,1.045940019,0,0.010996714,0.001508569,0,0,0,0.001790901,0,0.000826245,0,0.050703088,0.10996605,0.263579665,0
OtherCephalopods,OtherCephalopods,0,5.72,-6059.248877,0.026445867,0,0.791637102,0,0,0,0,0,0.183744435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.330407943,4.212850767,0,0,626.1875218,381.0321636,0,19.06510873,13.04467518,1.897433133,471.0328652,0,0,1701.079266,57.9817692,0,5.87031502,6.269323322,409.0083498,159.7358827,158.5078384,1241.026805,741.492921,34.65699043,3.876975643,0,0.074874535,18.65639397,0.398681413,0.431455102,0,0,7.096181768,0,0,0,0
