,Group,type,TL,Biomass,PB,QB,EE,GE,Removals,Respirations,M0,DetInput,Exports
Phytoplankton,Phytoplankton,1,1,22.126,163.14,0,0.852592241,Inf,0,,,,
Bacteria,Bacteria,0,2,5.484,91.25,380.21,0.664707414,0.239998948,0,,,,
Microzooplankton,Microzooplankton,0,2.325802929,4.885,72,242.42,0.941296188,0.297005198,0,,,,
GelZooplankton,GelZooplankton,0,3.103136861,1.283,35,146,0.920384541,0.239726027,0,,,,
LgCopepods,LgCopepods,0,2.422224378,11.955,35,109.5,0.751946297,0.319634703,0,,,,
SmCopepods,SmCopepods,0,2.188337692,10.403,30.92,127.75,0.897366787,0.242035225,0,,,,
Micronekton,Micronekton,0,2.870268659,4.874,14.25,36.5,0.788701493,0.390410959,0,,,,
Illex,Illex,0,3.795202737,0.350393016,5.72,19,0.658856418,0.301052632,0.002063314,,,,
Loligo,Loligo,0,3.795202737,0.039792693,5.72,19,0.986603518,0.301052632,0.000217508,,,,
OtherCephalopods,OtherCephalopods,0,3.795202737,0.001603622,5.72,19,0.954143249,0.301052632,8.03E-05,,,,
Macrobenthos,Macrobenthos,0,2.506166976,28.892,2.4,12.63,0.986688006,0.190023753,0.018001915,,,,
AmLobster,AmLobster,0,3.180519526,0.251853533,2.3,15.53,0.458969493,0.148100451,0.126824692,,,,
OceanPout,OceanPout,0,3.538132079,0.059006158,1.84,7,0.801089552,0.262857143,0.007333236,,,,
SmPelagics,SmPelagics,0,3.206009088,2.793548979,2,5.39,0.813024592,0.371057514,2.32E-07,,,,
SmFlatfishes,SmFlatfishes,0,3.625710967,0.000262136,1.61,5.39,0.976523396,0.298701299,0,,,,
NShrimp,NShrimp,0,2.90224323,0.184245135,1.45,9.67,0.918109431,0.149948294,0.036396592,,,,
OtherShrimps,OtherShrimps,0,2.90224323,1.027921853,4.5,14.85,0.960486063,0.303030303,0,,,,
RiverHerring,RiverHerring,0,3.691530732,0.580475849,1.3,9.4,0.673768035,0.138297872,0.00981507,,,,
AtlScallop,AtlScallop,0,2.1188099,0.038072055,1.2,6.66,0.5534278,0.18018018,0.001187731,,,,
OtherPelagics,OtherPelagics,0,4.693609693,0.699403455,1.17,3.285,0.991384744,0.356164384,0.413216078,,,,
AtlHerring,AtlHerring,0,3.805476845,3.084305443,1.65,3.7,0.937831916,0.445945946,0.572511903,,,,
Mesopelagics,Mesopelagics,0,3.422224378,0.010582228,1.65,3.7,0.462526541,0.445945946,0,,,,
YTFlounder,YTFlounder,0,3.558644436,0.041644164,0.92,3.23,0.973668727,0.284829721,0.02632513,,,,
Cod,Cod,0,4.40796669,0.998225464,0.87,2.24,0.679049018,0.388392857,0.175727725,,,,
Haddock,Haddock,0,3.701341195,1.213347826,0.7,3,0.443589947,0.233333333,0.066181084,,,,
AmPlaice,AmPlaice,0,3.558791038,0.580871064,0.6,4.2,0.998061982,0.142857143,0.135224185,,,,
AtlMackerel,AtlMackerel,0,3.777880084,0.311455663,1.65,2.17,0.997711392,0.760368664,0.008922643,,,,
AtlHalibut,AtlHalibut,0,4.478856123,0.015017369,0.23,1.53,0.71808885,0.150326797,0.000669109,,,,
SummerFlounder,SummerFlounder,0,4.950118892,0.003276781,1.12,3.34,0.711408802,0.335329341,0.002295893,,,,
Cusk,Cusk,0,4.391858073,0.195865586,0.52,1.74,0.261416634,0.298850575,0,,,,
OtherDemersals,OtherDemersals,0,3.667892852,0.470648299,0.936,1.74,0.992721702,0.537931034,0.038394028,,,,
HMS,HMS,0,4.380947615,0.00587,0.5,2.36,0.021434724,0.211864407,1.60E-06,,,,
OtherSkates,OtherSkates,0,4.050060389,0.205114799,0.47,3.18,0.793654892,0.147798742,0.004035731,,,,
RedHake,RedHake,0,4.098477995,0.468430772,1.3,3.85,0.966036985,0.337662338,0.016388592,,,,
Barndoor,Barndoor,0,4.062026168,0,0.45,0.83,0,0.542168675,0,,,,
Fourspot,Fourspot,0,4.256095733,0.005672656,0.45,0.92,0.998079023,0.489130435,6.20E-05,,,,
SmoothDogfish,SmoothDogfish,0,3.992082515,0.001103335,0.45,2.44,0.001216887,0.18442623,6.04E-07,,,,
Pollock,Pollock,0,4.268106609,1.029550053,0.42,2,0.395515849,0.21,0.14157473,,,,
Goosefish,Goosefish,0,5.001503494,0.283685222,0.4,1.22,0.720732719,0.327868852,0.041026335,,,,
SilverHake,SilverHake,0,4.337227634,2.192147665,0.9,3.06,0.992376327,0.294117647,0.094494157,,,,
WhiteHake,WhiteHake,0,4.587074955,1.368015688,0.38,2.325,0.567706385,0.16344086,0.061740404,,,,
SpinyDogfish,SpinyDogfish,0,4.418654514,0.726156604,0.384,1.16,0.879726562,0.331034483,0.067954547,,,,
Redfish,Redfish,0,4.02283927,1.308913472,0.3,1.5,0.997839293,0.2,0.060388342,,,,
LittleSkate,LittleSkate,0,3.796281715,0.053463975,0.3,0.83,0.593429928,0.361445783,0.000792863,,,,
SeaBirds,SeaBirds,0,4.359257625,0.0035,0.28,5.36,0.324731403,0.052238806,0,,,,
Windowpane,Windowpane,0,3.893348065,0.016264982,0.25,0.9,0.851040333,0.277777778,0.001397211,,,,
WinterFlounder,WinterFlounder,0,3.543150203,0.266075425,0.374,2.024,0.909829985,0.184782609,0.034211448,,,,
WitchFlounder,WitchFlounder,0,3.520132316,0.863278224,0.32,1.84,0.342298577,0.173913043,0.05473046,,,,
BlackSeaBass,BlackSeaBass,0,3.972812461,0.0024445,0.15,0.83,0.984907601,0.180722892,4.05E-05,,,,
Butterfish,Butterfish,0,3.901476396,0.069255103,1.312,4.23,0.534906446,0.310165485,0.000698509,,,,
Sharks,Sharks,0,4.744138537,0.00888,0.15,0.62,0.865652463,0.241935484,0.000745069,,,,
WinterSkate,WinterSkate,0,4.043285839,0.123794996,0.14,0.83,0.755581348,0.168674699,0.00117994,,,,
Pinnipeds,Pinnipeds,0,4.809819681,0.063,0.07,4.85,0.041705794,0.01443299,0,,,,
BaleenWhales,BaleenWhales,0,4.112821405,0.602,0.04,2.3,0.002545992,0.017391304,0,,,,
Odontocetes,Odontocetes,0,4.878921023,0.0336,0.04,8.5,0.250066168,0.004705882,0,,,,
Megabenthos,Megabenthos,0,2.698894824,6.261976768,1.91,5.53,0.383111182,0.345388788,0.029405271,,,,
Detritus,Detritus,2,1,6921.97122,0.5,0,0.645270314,0,0,,,,
Discards,Discards,2,1,0,0,0,0,0,0,,,,
Fixed Gear,Fixed Gear,3,5.27590256,0,0,0,0,0,0,,,,
HMS Fleet,HMS Fleet,3,5.162131761,0,0,0,0,0,0,,,,
LG Mesh,LG Mesh,3,5.04360401,0,0,0,0,0,0,,,,
Scallop Dredge,Scallop Dredge,3,3.1188099,0,0,0,0,0,0,,,,
Trap,Trap,3,4.136089201,0,0,0,0,0,0,,,,
Other Dredge,Other Dredge,3,3.600238053,0,0,0,0,0,0,,,,
Other,Other,3,4.798935224,0,0,0,0,0,0,,,,
Pelagic,Pelagic,3,5.237118759,0,0,0,0,0,0,,,,
SM Mesh,SM Mesh,3,5.002750494,0,0,0,0,0,0,,,,
Clam Dredge,Clam Dredge,3,1,0,0,0,0,0,0,,,,
