,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
,,Phytoplankton,Bacteria,Microzooplankton,GelZooplankton,LgCopepods,SmCopepods,Micronekton,Illex,Loligo,OtherCephalopods,Macrobenthos,AmLobster,OceanPout,SmPelagics,SmFlatfishes,NShrimp,OtherShrimps,RiverHerring,AtlScallop,OtherPelagics,AtlHerring,Mesopelagics,YTFlounder,Cod,Haddock,AmPlaice,AtlMackerel,AtlHalibut,SummerFlounder,Cusk,OtherDemersals,HMS,OtherSkates,RedHake,Barndoor,Fourspot,SmoothDogfish,Pollock,Goosefish,SilverHake,WhiteHake,SpinyDogfish,Redfish,LittleSkate,SeaBirds,Windowpane,WinterFlounder,WitchFlounder,BlackSeaBass,Butterfish,Sharks,WinterSkate,Pinnipeds,BaleenWhales,Odontocetes,Megabenthos
1,Phytoplankton,0,0.4305193,0.2117425,0.08602893,0.6317893,0.7240587,0.1824,0,0,0,0.205095001,0,0,0.1656693,0,0.07548419,0.07548419,0,0.7909901,0,8.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004376234,0,0,0,0,0,0.358817855
2,Bacteria,0,0,0.1971663,0.02000673,0,0,0,0,0,0,0.226451309,0.1418395,0,0,0,0.4473137,0.4473137,0,0.1188099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131392553
3,Microzooplankton,0,0,0.09702543,0.05001682,0.04287973,0.1133734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,GelZooplankton,0,0,0,0.04867304,0.02392604,0,0,0,0,0,0,0,0.000247787,0.02177701,0,0,0,0.014958437,0,0,0.003475019,0,0.002593957,0.000383492,0.00441834,0.000476569,0.004568849,0,0,0,0.008961361,0.09437622,0.000117124,1.30E-05,0.000109859,0,0,0.005117563,1.97E-06,7.18E-05,0.00089537,0.234365157,0.004688123,0.000918834,0,0,0.029145678,0.002066807,0,0.588963216,0,0,0,0,0,0
5,LgCopepods,0,0,0,0.3601212,0.1276366,0,0.3664,0.1006037,0.1006037,0.1006037,0.001922152,0,1.26E-06,0.676395,0,0,0,0.280330298,0,0.000147634,0.115331822,1,0.009491524,0.000139903,0.00040022,1.86E-06,0.208378452,0,0,0,0,0,0.000891956,0.003886142,0.000823946,0,0,0.000306218,0,0.000385922,2.10E-05,3.91E-05,0.0065797,0.000750152,0.03427451,0.006122902,0.004567758,2.68E-05,0,0.009899292,0.03340645,0.000611766,0,0.153928,0,0
6,SmCopepods,0,0,0,0.3301111,0.1097328,0.032,0.2208001,0,0,0,0.000381269,0,0,0.08079781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Micronekton,0,0,0,0.004059562,0,0,0.0464,0.6706911,0.6706911,0.6706911,0.058024691,0,0.0014846,0.05170571,0.32832584,0.1509684,0.1509684,0.525564532,0,0,0.63577141,0,0.012587122,0.030464064,0.057655255,0.035040234,0.434422705,0.039832521,0.002953953,0.141055577,0.06147739,0,0.16328611,0.331398038,0.117864138,0.168276397,0,0.270921058,0.003483648,0.241791462,0.099713371,0.075490652,0.658649472,0.066455265,0.2405256,0.54919567,0.004077247,0.02634338,0.276042432,0.140450953,0,0.052167445,0.00313569,0.5024855,0.000274618,0
8,Illex,0,0,0,8.28E-05,0,0,0,0.019231725,0.019231725,0.019231725,0,0,0,0,0,0,0,0,0,0.129,0,0,0,0.029042961,0.0173,0,0.011,0.068549531,0,0.11,0.003272644,0.022380462,0.047848224,0.012732229,0,0.056058108,0,0.019055326,0.042631382,0.028238177,0.060341138,0.034959066,0.0021,0,0.028715926,0,0,0,0,0,0.16077402,0,0.059257402,0.035361212,0.329567353,0
9,Loligo,0,0,0,8.96E-06,0,0,0,0.002080625,0.002080625,0.002080625,0,0,0,0,0,0,0,0,0,0.024948458,0,0,0,0.013577314,0,0,0.002855531,0.001507838,0.152910513,0,0.000354058,0.002421278,0.00794469,0.010484148,0,0.002537592,0.003457815,0.008895853,0.004302597,0.006268783,0.000755124,0.011992911,0,0.009573918,0.003106694,0,0,0,0.047741674,0,0.01739368,0,0.006410888,0.003068318,0.035654947,0
