,SP_CODE,YEAR,ST_name,LANDING,SCINAME,RPATH,catch.mt
6911,8845010103,2007,MA,13450981.99,AMMODYTES DUBIUS,OtherDemersals,6101.325408
8724,8857042001,1981,MA,9127780.184,PLEURONECTES AMERICANUS,OtherFlatfish,4140.333931
7598,8850030302,2010,MA,9104253.341,SCOMBER SCOMBRUS,AtlMackerel,4129.662225
8693,8857042001,1985,MA,5930431.123,PLEURONECTES AMERICANUS,OtherFlatfish,2690.025911
8596,8857042001,1982,MA,5791308.43,PLEURONECTES AMERICANUS,OtherFlatfish,2626.920271
7587,8850030302,2006,MA,5486141.107,SCOMBER SCOMBRUS,AtlMackerel,2488.497282
7564,8850030302,2016,MA,4999739.974,SCOMBER SCOMBRUS,AtlMackerel,2267.867175
7387,8850030302,2017,MA,4586011.207,SCOMBER SCOMBRUS,AtlMackerel,2080.201037
5894,8835430101,1986,MA,4219473.701,STENOTOMUS CHRYSOPS,Scup,1913.940715
7492,8850030302,2015,MA,4057480.149,SCOMBER SCOMBRUS,AtlMackerel,1840.460922
8594,8857042001,1982,MA,3918404.433,PLEURONECTES AMERICANUS,OtherFlatfish,1777.376591
6020,8835430101,1987,MA,3866247.887,STENOTOMUS CHRYSOPS,Scup,1753.718537
8730,8857042001,1981,MA,3799932.269,PLEURONECTES AMERICANUS,OtherFlatfish,1723.63797
6894,8845010102,1992,MA,3638964.169,AMMODYTES AMERICANUS,OtherDemersals,1650.623319
7557,8850030302,2013,MA,3564399.871,SCOMBER SCOMBRUS,AtlMackerel,1616.801175
5911,8835430101,1991,MA,3394948.55,STENOTOMUS CHRYSOPS,Scup,1539.93856
7390,8850030302,2017,MA,3335626.156,SCOMBER SCOMBRUS,AtlMackerel,1513.030099
7545,8850030302,2011,MA,3253814.449,SCOMBER SCOMBRUS,AtlMackerel,1475.920552
8731,8857042001,1983,MA,3220020.216,PLEURONECTES AMERICANUS,OtherFlatfish,1460.591588
6878,8845010100,1994,MA,3116400.27,AMMODYTES SPP.,OtherDemersals,1413.589889
6877,8845010100,2014,ME,3065599.493,AMMODYTES SPP.,OtherDemersals,1390.546808
8091,8857030301,1986,MA,3038110.776,PARALICHTHYS DENTATUS,SummerFlounder,1378.078008
8518,8857042001,1986,MA,3034016.081,PLEURONECTES AMERICANUS,OtherFlatfish,1376.220666
7633,8850030302,2016,MA,3025227.209,SCOMBER SCOMBRUS,AtlMackerel,1372.23406
7201,8850030302,2000,ME,3016635.057,SCOMBER SCOMBRUS,AtlMackerel,1368.336685
