"","Rprey","preyper","Rpred"
"1","Bacteria",0,"Sharks"
"2","BaleenWhales",0.01113548,"Sharks"
"3","AmPlaice",0.00746159498012493,"Sharks"
"4","Cusk",0.00314588432424759,"Sharks"
"5","Fourspot",7.90423197047132e-05,"Sharks"
"6","Haddock",0.0196815376064736,"Sharks"
"7","LittleSkate",0.000853657052810903,"Sharks"
"8","OceanPout",0.000600721629755821,"Sharks"
"9","OtherDemersals",0.0034462451391255,"Sharks"
"10","Redfish",0.00698734106189665,"Sharks"
"11","RedHake",0.00659212946337308,"Sharks"
"12","SmFlatfishes",0,"Sharks"
"13","SummerFlounder",3.16169278818853e-05,"Sharks"
"14","Windowpane",0.000126467711527541,"Sharks"
"15","WinterFlounder",0.00151761253833049,"Sharks"
"16","WinterSkate",0.001928632600795,"Sharks"
"17","WitchFlounder",0.00267163040601931,"Sharks"
"18","YTFlounder",0.000553296237932993,"Sharks"
"19","BarndoorSkate",0,"Sharks"
"20","BlackSeaBass",0.000176578513379584,"Sharks"
"21","OtherSkates",0.0889072814866204,"Sharks"
"22","AtlHalibut",0.000592312917933131,"Sharks"
"23","Cod",0.0773560670820669,"Sharks"
"24","Discards",0,"Sharks"
"25","GelZooplankton",0,"Sharks"
"26","HMS",0.01113548,"Sharks"
"27","LgCopepods",0.03340645,"Sharks"
"28","Micronekton",0,"Sharks"
"29","Macrobenthos",0.02227096,"Sharks"
"30","OtherPelagics",0.031213,"Sharks"
"31","AtlScallop",0,"Sharks"
"32","Megabenthos",0,"Sharks"
"33","AmLobster",0,"Sharks"
"34","Microzooplankton",0,"Sharks"
"35","Odontocetes",0.02227096,"Sharks"
"36","Phytoplankton",0,"Sharks"
"37","Pinnipeds",0.03340645,"Sharks"
"38","Sea Bird",0.03340645,"Sharks"
"39","Sharks",0.03340645,"Sharks"
"40","NShrimp",0,"Sharks"
"41","OtherShrimps",0,"Sharks"
"42","SmPelagics",0.0675980822435897,"Sharks"
"43","AtlHerring",0.185956608776596,"Sharks"
"44","AtlMackerel",0.0373157074468085,"Sharks"
"45","Butterfish",0.0105727837765957,"Sharks"
"46","Mesopelagics",0.000356906474358974,"Sharks"
"47","RiverHerring",0.00999338128205128,"Sharks"
"48","Illex",0.160774019525066,"Sharks"
"49","Loligo",0.017393680474934,"Sharks"
"50","OtherCephalopods",0,"Sharks"
"51","SmCopepods",0,"Sharks"
